Annee;Groupe_TP;Id_paquerette;Milieu;Code_site;Prop_veg_500;Date_ech;Date_dissection;Nb_inflo;Nb_feuilles;H_tige;D_capitule;D_disque;Antho_sup;Antho_inf;Nb_ligu;Nb_tubu;Abondance;Agregation
2021;stage;RUR6_P17;Rural;RUR6;95.85;08/06/2021;NA;1;14;124;15;5;1;1;36;81;1;B
2021;stage;RUR6_P18;Rural;RUR6;95.85;08/06/2021;NA;1;4;115;11;4;3;3;25;47;2;C
2021;stage;RUR6_P19;Rural;RUR6;95.85;08/06/2021;NA;1;6;87;10;4;2;3;29;52;1;D
2021;stage;RUR6_P20;Rural;RUR6;95.85;08/06/2021;NA;1;8;117;11;5;2;3;51;87;1;B
2023;A31;RUR1-0145-A;Rural;RUR1;95.38;05/03/2023;07/03/2023;3;20;34;18;8;1;2;52;242;1;C
2023;B11;RUR1-1699A;Rural;RUR1;95.38;06/03/2023;08/03/2023;3;29;40;20;8;1;2;52;178;1;B
2023;B31;RUR1-3634-A;Rural;RUR1;95.38;05/03/2023;06/03/2023;6;16;67;22;7;2;2;58;252;2;B
2023;B22;RUR1-3722-A;Rural;RUR1;95.38;07/03/2023;08/03/2023;4;27;73;24;8;2;2;42;178;2;E
2023;B22;RUR1-6544-B;Rural;RUR1;95.38;06/03/2023;08/03/2023;4;21;40;24;8;3;2;58;216;1;A
2023;A31;RUR1-7105-A;Rural;RUR1;95.38;05/03/2023;07/03/2023;3;18;33;24;8;2;2;44;176;1;B
2023;A21;RUR1-3054-A;Rural;RUR1;95.38;08/03/2023;09/03/2023;3;32;59;22;7;2;3;40;142;1;B
2023;A12;RUR1-1187-A;Rural;RUR1;95.38;06/03/2023;09/03/2023;2;14;66;20;5;2;2;58;190;1;A
2023;A12;RUR1-2642-A;Rural;RUR1;95.38;06/03/2023;09/03/2023;3;12;70;20;7;1;2;54;192;1;B
2023;A31;RUR2-1676-A;Rural;RUR2;95.16;06/03/2023;07/03/2023;9;65;62;24;8;2;3;62;204;1;A
2023;B11;RUR2-2062-B;Rural;RUR2;95.16;07/03/2023;08/03/2023;3;31;40;23;9;2;2;64;198;3;B
2023;B11;RUR2-3564-A;Rural;RUR2;95.16;07/03/2023;08/03/2023;2;17;25;20;7;2;3;54;100;2;B
2023;B11;RUR2-4076-A;Rural;RUR2;95.16;07/03/2023;08/03/2023;5;28;78;23;8;2;3;40;128;1;B
2023;A31;RUR2-4862-A;Rural;RUR2;95.16;06/03/2023;07/03/2023;10;86;36;17;6;2;2;40;116;2;E
2023;B11;RUR2-7040-A;Rural;RUR2;95.16;07/03/2023;08/03/2023;3;25;26;20;9;2;2;58;168;2;B
2023;A31;RUR2-8166-A;Rural;RUR2;95.16;06/03/2023;07/03/2023;6;38;59;21;8;3;3;64;166;2;A
2023;A11;RUR2-3491-A;Rural;RUR2;95.16;08/03/2023;09/03/2023;5;91;61;23;6;2;2;48;180;2;D
2023;A11;RUR2-7386-A;Rural;RUR2;95.16;08/03/2023;09/03/2023;5;14;48;23;8;2;3;52;176;2;A
2023;B31;RUR3-0110-A;Rural;RUR3;86.96;04/03/2023;06/03/2023;4;14;112;20;7;1;1;58;154;1;C
2023;A31;RUR3-0113-A;Rural;RUR3;86.96;06/03/2023;07/03/2023;6;58;150;26;8;3;5;38;92;1;E
2023;B12;RUR3-0417-A;Rural;RUR3;86.96;04/03/2023;08/03/2023;2;29;57;26;7;1;2;96;202;1;C
2023;B12;RUR3-0417-B;Rural;RUR3;86.96;04/03/2023;08/03/2023;6;101;95;21;9;2;2;62;198;2;D
2023;A31;RUR3-1110-A;Rural;RUR3;86.96;05/03/2023;07/03/2023;2;25;64;21;8;2;2;66;132;1;D
2023;B31;RUR3-1178-B;Rural;RUR3;86.96;05/03/2023;06/03/2023;2;21;57;24;9;2;3;30;164;1;A
2023;B31;RUR3-1308-A;Rural;RUR3;86.96;05/03/2023;06/03/2023;3;25;47;25;7;3;3;64;126;1;A
2023;B21;RUR3-2394_B;Rural;RUR3;86.96;06/03/2023;08/03/2023;3;29;88;18;7;2;2;46;162;1;D
2023;B21;RUR3-3686-A;Rural;RUR3;86.96;04/03/2023;08/03/2023;3;24;80;25;8;1;2;40;186;1;B
2023;B31;RUR3-5571-A;Rural;RUR3;86.96;05/03/2023;06/03/2023;4;20;53;20;8;2;3;56;152;1;A
2023;A22;RUR3-3499-A;Rural;RUR3;86.96;09/03/2023;09/03/2023;2;13;37;23;8;2;2;40;160;4;C
2023;A22;RUR3-3499-B;Rural;RUR3;86.96;09/03/2023;09/03/2023;3;34;50;20;8;3;3;50;128;4;C
2023;A22;RUR3-4436-B;Rural;RUR3;86.96;09/03/2023;09/03/2023;2;34;45;19;8;1;2;54;152;4;C
2023;B21;RUR4-8193-A;Rural;RUR4;96.02;05/03/2023;08/03/2023;3;24;70;20;8;2;3;42;124;4;C
2023;A12;RUR4-0553-A;Rural;RUR4;96.02;09/03/2023;09/03/2023;4;56;95;27;9;2;2;42;184;1;A
